Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
13,2455563,170484,שבת מברכים שבט,א-כב,22,65,3.0
13,2455591,33368,שבת מברכים אדר,א-כב,22,65,3.0
13,2455619,0,שבת מברכים אדר ב,א-כב,22,65,3.0
13,2455654,33377,שבת מברכים ניסן,א-כד,24,73,3.0
13,2455682,33383,שבת מברכים אייר,א-כה,25,75,3.0
13,2455710,33389,שבת מברכים סיון,א-כו,26,77,3.0
13,2455738,33395,שבת מברכים תמוז,א-כז,27,80,3.0
13,2455773,33401,שבת מברכים מנחם-אב,א-כח,28,80,2.9
13,2455801,33331,שבת מברכים אלול,א-כט,29,80,2.8
14,2455444,33408,שבת מברכים תשרי,א-לא,31,80,2.6
14,2455472,33422,שבת מברכים חשון,א-לג,33,80,2.4
14,2455500,0,שבת מברכים כסלו,א-לג,33,80,2.4
14,2455535,169257,שבת מברכים טבת,א-לז,37,80,2.2
14,2455563,170485,שבת מברכים שבט,א-לט,39,80,2.1
14,2455591,33446,שבת מברכים אדר,א-מ,40,80,2.0
14,2455619,0,שבת מברכים אדר ב,א-מ,40,80,2.0
14,2455654,33455,שבת מברכים ניסן,א-מא,41,80,2.0
14,2455682,33461,שבת מברכים אייר,א-מג,43,80,1.9
14,2455710,33467,שבת מברכים סיון,א-מד,44,80,1.8
14,2455738,33473,שבת מברכים תמוז,א-מו,46,85,1.8
14,2455773,33479,שבת מברכים מנחם-אב,א-מט,49,90,1.8
14,2455801,33416,שבת מברכים אלול,א-נ,50,90,1.8
