2250,4:06,16,Empire and Albany
572,4:07,16,Empire and Albany
573,4:08,16,Empire and Albany
706,4:09,16,Empire and Albany
1390,4:10,16,Empire and Albany
1256,4:11,16,Empire and Albany
2008,4:12,16,Empire and Albany
2097,4:13,17,Empire and Kingston
2100,4:14,17,Empire and Kingston
2104,4:15,17,Empire and Kingston
553,4:16,17,Empire and Kingston
2252,4:17,17,Empire and Kingston
1244,4:18,17,Empire and Kingston
2010,4:19,34,Balfour and Empire
912,4:20,17,Empire and Kingston
2035,4:21,17,Empire and Kingston
2156,4:22,17,Empire and Kingston
2002,4:23,18,east new york and albany
1950,4:24,18,east new york and albany
2066,4:25,18,east new york and albany
574,4:26,18,east new york and albany
570,4:27,18,east new york and albany
571,4:28,18,east new york and albany
978,4:29,18,east new york and albany
1195,4:30,18,east new york and albany
1269,4:31,18,east new york and albany
2031,4:32,19,Kingston and Empire
2037,4:33,19,Kingston and Empire
1926,4:34,20,Sterling and Brooklyn
2083,4:35,20,Sterling and Brooklyn
2023,4:36,20,Sterling and Brooklyn
1384,4:37,20,Sterling and Brooklyn
2003,4:38,21,Lefferts and Kingston
1385,4:39,21,Lefferts and Kingston
2175,4:40,21,Lefferts and Kingston
904,4:41,21,Lefferts and Kingston
2155,4:42,21,Lefferts and Kingston
2197,4:43,21,Lefferts and Kingston
1081,4:44,21,Lefferts and Kingston
2009,4:45,22,Lefferts and Troy
1180,4:46,22,Lefferts and Troy
2095,4:47,22,Lefferts and Troy
2004,4:48,22,Lefferts and Troy
2080,4:49,22,Lefferts and Troy
1337,4:50,22,Lefferts and Troy
2032,5:01,23,Malbone and New York
2033,5:02,23,Malbone and New York
2096,5:03,24,Montgomery and Brooklyn
2107,5:04,24,Montgomery and Brooklyn
708,5:05,24,Montgomery and Brooklyn
1082,5:06,24,Montgomery and Brooklyn
2017,5:07,24,Montgomery and Brooklyn
2098,5:08,24,Montgomery and Brooklyn
896,5:09,24,Montgomery and Brooklyn
977,5:10,24,Montgomery and Brooklyn
1265,5:11,24,Montgomery and Brooklyn
704,5:12,24,Montgomery and Brooklyn
2051,5:13,24,Montgomery and Brooklyn
2062,5:14,25,Montgomery and Kingston
2065,5:15,25,Montgomery and Kingston
443,5:16,25,Montgomery and Kingston
577,5:17,25,Montgomery and Kingston
910,5:18,25,Montgomery and Kingston
2241,5:19,25,Montgomery and Kingston
2021,5:20,26,Montgomery and Albany
2194,5:21,26,Montgomery and Albany
1396,5:22,26,Montgomery and Albany
2030,5:23,26,Montgomery and Albany
2262,5:24,26,Montgomery and Albany
1254,5:25,26,Montgomery and Albany
1251,5:26,26,Montgomery and Albany
2039,5:27,26,Montgomery and Albany
2238,5:28,26,Montgomery and Albany
2174,5:29,26,Montgomery and Albany
547,5:30,26,Montgomery and Albany
2173,5:31,26,Montgomery and Albany
2038,5:32,26,Montgomery and Albany
1270,5:33,26,Montgomery and Albany
2094,5:34,26,Montgomery and Albany
2054,5:35,26,Montgomery and Albany
1079,5:36,27,E. 45 st and Troy
1206,5:37,27,E. 45 st and Troy
2028,5:38,28,Midwood and albany
2203,5:39,28,Midwood and albany
2027,5:40,29,Maple and Kingston
2052,5:41,29,Maple and Kingston
1262,5:42,29,Maple and Kingston
890,5:43,29,Maple and Kingston
1192,6:01,30,President and Utica
2260,6:02,30,President and Utica
1796,6:03,31,President and Albany
2259,6:04,31,President and Albany
1795,6:05,31,President and Albany
1799,6:06,31,President and Albany
1821,6:07,31,President and Albany
1797,6:08,31,President and Albany
2258,6:09,31,President and Albany
1815,6:10,31,President and Albany
1822,6:11,31,President and Albany
898,6:12,31,President and Albany
2261,6:13,31,President and Albany
1074,6:14,31,President and Albany
1078,6:15,31,President and Albany
2179,6:16,31,President and Albany
2057,6:17,31,President and Albany
2019,6:18,31,President and Albany
2189,6:19,31,President and Albany
1917,6:20,31,President and Albany
1921,6:21,31,President and Albany
1267,6:22,31,President and Albany
1274,6:23,31,President and Albany
972,6:24,31,President and Albany
721,6:25,31,President and Albany
1077,6:26,32,President and Kingston
1335,6:27,32,President and Kingston
1249,6:28,32,President and Kingston
2167,6:29,32,President and Kingston
558,6:30,32,President and Kingston
1243,6:31,32,President and Kingston
2237,6:32,32,President and Kingston
1242,6:33,32,President and Kingston
1250,6:34,32,President and Kingston
677,6:35,32,President and Kingston
1781,6:36,32,President and Kingston
1803,6:37,32,President and Kingston
1805,6:38,32,President and Kingston
1826,6:39,32,President and Kingston
1830,6:40,32,President and Kingston
1813,6:41,32,President and Kingston
1825,6:42,32,President and Kingston
1829,6:43,32,President and Kingston
1794,6:44,32,President and Kingston
1804,6:45,32,President and Kingston
1806,6:46,32,President and Kingston
1807,6:47,32,President and Kingston
1831,6:48,32,President and Kingston
2048,6:49,33,President and Brooklyn
2082,6:50,33,President and Brooklyn
723,6:51,33,President and Brooklyn
2006,6:52,33,President and Brooklyn
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
