Year,Julian Date,Mission ID,Mission,Kapitelach,Amount,Minutes,Speed
13,2455535,169301,שבת מברכים טבת,1/2 א-קיט,119,120,1.0
13,2455563,170768,שבת מברכים שבט,א-קיט,119,120,1.0
13,2455591,34295,שבת מברכים אדר,א-קכב,122,120,1.0
13,2455619,0,שבת מברכים אדר ב,א-קכב,122,120,1.0
13,2455654,34304,שבת מברכים ניסן,א-קל,130,120,0.9
13,2455682,34310,שבת מברכים אייר,א-קלב,132,120,0.9
13,2455710,34316,שבת מברכים סיון,א-קלה,135,120,0.9
13,2455738,34322,שבת מברכים תמוז,א-קמב,142,120,0.8
13,2455773,34328,שבת מברכים מנחם-אב,א-קנ,150,120,0.8
13,2455801,34258,שבת מברכים אלול,א-קנ,150,120,0.8
14,2455444,0,שבת מברכים תשרי,א-קנ,150,120,0.8
14,2455472,0,שבת מברכים חשון,א-קנ,150,120,0.8
14,2455500,0,שבת מברכים כסלו,א-קנ,150,120,0.8
14,2455535,0,שבת מברכים טבת,א-קנ,150,120,0.8
14,2455563,0,שבת מברכים שבט,א-קנ,150,120,0.8
14,2455591,0,שבת מברכים אדר,א-קנ,150,120,0.8
14,2455619,0,שבת מברכים אדר ב,א-קנ,150,120,0.8
14,2455654,0,שבת מברכים ניסן,א-קנ,150,120,0.8
14,2455682,0,שבת מברכים אייר,א-קנ,150,120,0.8
14,2455710,0,שבת מברכים סיון,א-קנ,150,120,0.8
14,2455738,0,שבת מברכים תמוז,א-קנ,150,120,0.8
14,2455773,0,שבת מברכים מנחם-אב,א-קנ,150,120,0.8
14,2455801,0,שבת מברכים אלול,א-קנ,150,120,0.8
