,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,
Week type,Start Date JD,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,ladder,quota,Age,Ladder,quota,Age,Ladder,quota,Age,Ladder,quota
Learn line,2459146,6,1,1,6,2,1,6,3,1,6,4,1,6,5,1,7,1,6,7,2,7,7,3,8,7,4,11-12,7,5,12-14,8,1,11,8,2,13-14,8,3,16-17,8,4,28-31,8,5,31-35,9,1,16,9,2,28-30,9,3,31-34,9,4,55-60,9,5,64-70,10,1,21,10,2,46-48,10,3,55-58,10,4,91-96,10,5,106-112,11,1,31,11,2,64-65,11,3,79-82,11,4,127-132,11,5,148-154,12,1,41,12,2,81-83,12,3,102-107,12,4,163-168,12,5,190-197,13,1,51-52,13,2,100-103,13,3,132-137,13,4,199-204,13,5,238-245
Learn line,2459153,6,1,1,6,2,1,6,3,1,6,4,1,6,5,1,7,1,6,7,2,7,7,3,8,7,4,11-12,7,5,12-14,8,1,11,8,2,13-14,8,3,16-17,8,4,28-31,8,5,31-35,9,1,16,9,2,28-30,9,3,31-34,9,4,55-60,9,5,64-70,10,1,21,10,2,46-48,10,3,55-58,10,4,91-96,10,5,106-112,11,1,31,11,2,64-65,11,3,79-82,11,4,127-132,11,5,148-154,12,1,41,12,2,81-83,12,3,102-107,12,4,163-168,12,5,190-197,13,1,51-52,13,2,100-103,13,3,132-137,13,4,199-204,13,5,238-245
Learn line,2459160,6,1,1,6,2,1,6,3,1,6,4,1,6,5,1,7,1,6,7,2,7,7,3,8,7,4,11-12,7,5,12-14,8,1,11,8,2,13-14,8,3,16-17,8,4,28-31,8,5,31-35,9,1,16,9,2,28-30,9,3,31-34,9,4,55-60,9,5,64-70,10,1,21,10,2,46-48,10,3,55-58,10,4,91-96,10,5,106-112,11,1,31,11,2,64-65,11,3,79-82,11,4,127-132,11,5,148-154,12,1,41,12,2,81-83,12,3,102-107,12,4,163-168,12,5,190-197,13,1,51-52,13,2,100-103,13,3,132-137,13,4,199-204,13,5,238-245
Review,2459167,6,1,1,6,2,1,6,3,1,6,4,1,6,5,1,7,1,1-6,7,2,1-7,7,3,1-8,7,4,1-12,7,5,1-14,8,1,1-11,8,2,1-14,8,3,1-17,8,4,1-31,8,5,1-35,9,1,1-16,9,2,1-30,9,3,1-34,9,4,1-60,9,5,1-70,10,1,1-21,10,2,1-48,10,3,1-58,10,4,1-96,10,5,1-112,11,1,1-31,11,2,1-65,11,3,1-82,11,4,1-132,11,5,1-154,12,1,1-41,12,2,1-83,12,3,1-107,12,4,1-168,12,5,1-197,13,1,1-52,13,2,1-103,13,3,1-137,13,4,1-204,13,5,1-245
Learn line,2459174,6,1,2,6,2,2,6,3,2,6,4,2,6,5,2-3,7,1,7,7,2,8,7,3,9,7,4,13-15,7,5,15-17,8,1,12,8,2,15-16,8,3,18-19,8,4,32-35,8,5,36-40,9,1,17,9,2,31-33,9,3,35-38,9,4,61-66,9,5,71-77,10,1,22,10,2,49-51,10,3,59-62,10,4,97-102,10,5,113-119,11,1,32,11,2,66-68,11,3,83-86,11,4,133-138,11,5,155-161,12,1,42,12,2,84-86,12,3,108-112,12,4,169-174,12,5,198-205,13,1,53-54,13,2,104-107,13,3,138-142,13,4,205-210,13,5,246-253
Learn line,2459181,6,1,2,6,2,2,6,3,2,6,4,2,6,5,2-3,7,1,7,7,2,8,7,3,9,7,4,13-15,7,5,15-17,8,1,12,8,2,15-16,8,3,18-19,8,4,32-35,8,5,36-40,9,1,17,9,2,31-33,9,3,35-38,9,4,61-66,9,5,71-77,10,1,22,10,2,49-51,10,3,59-62,10,4,97-102,10,5,113-119,11,1,32,11,2,66-68,11,3,83-86,11,4,133-138,11,5,155-161,12,1,42,12,2,84-86,12,3,108-112,12,4,169-174,12,5,198-205,13,1,53-54,13,2,104-107,13,3,138-142,13,4,205-210,13,5,246-253
Learn line,2459188,6,1,2,6,2,2,6,3,2,6,4,2,6,5,2-3,7,1,7,7,2,8,7,3,9,7,4,13-15,7,5,15-17,8,1,12,8,2,15-16,8,3,18-19,8,4,32-35,8,5,36-40,9,1,17,9,2,31-33,9,3,35-38,9,4,61-66,9,5,71-77,10,1,22,10,2,49-51,10,3,59-62,10,4,97-102,10,5,113-119,11,1,32,11,2,66-68,11,3,83-86,11,4,133-138,11,5,155-161,12,1,42,12,2,84-86,12,3,108-112,12,4,169-174,12,5,198-205,13,1,53-54,13,2,104-107,13,3,138-142,13,4,205-210,13,5,246-253
Review,2459195,6,1,1-2,6,2,1-2,6,3,1-2,6,4,1-2,6,5,1-3,7,1,1-7,7,2,1-8,7,3,1-9,7,4,1-15,7,5,1-17,8,1,1-12,8,2,1-16,8,3,1-19,8,4,1-35,8,5,1-40,9,1,1-17,9,2,1-33,9,3,1-38,9,4,1-66,9,5,1-77,10,1,1-22,10,2,1-51,10,3,1-62,10,4,1-102,10,5,1-119,11,1,1-32,11,2,1-68,11,3,1-86,11,4,1-138,11,5,1-161,12,1,1-42,12,2,1-86,12,3,1-112,12,4,1-174,12,5,1-205,13,1,1-54,13,2,1-107,13,3,1-142,13,4,1-210,13,5,1-253
